"Add Fee","Add Fee"
"Alt. Title","Alt. Title"
"Calculate Handling Fee","Calculate Handling Fee"
"Enable Payment Method Fee Functionality","Enable Payment Method Fee Functionality"
"Fee","Fee"
"Payment Fee","Payment Fee"
"Payment Method","Payment Method"
"Payment Method Fee","Payment Method Fee"
"Title","Title"
"Your order is being processed","Your order is being processed"
"Order has successfully been placed. Order ID: #%1", "Order has successfully been placed. Order ID: #%1"
"Proceed to Qliro Checkout","Proceed to Qliro Checkout"
"You have an ongoing Qliro payment. Please complete or cancel it before updating your cart","You have an ongoing Qliro payment. Please complete or cancel it before updating your cart"
"Qliro Order Id","Qliro Order Id"
"Qliro Reference","Qliro Reference"
"Payment Method Code","Payment Method Code"
"Payment Method: %1","Payment Method: %1"
"Qliro Order Id: %1","Qliro Order Id: %1"
"Qliro Reference: %1","Qliro Reference: %1"
"Invoice, 14 days","Invoice, 14 days"
"Invoice, 30 days","Invoice, 30 days"
"Invoice, 30 to 60 days","Invoice, 30 to 60 days"
"Pay later","Pay later"
"Part payment, flexible","Part payment, flexible"
"Part payment, fixed","Part payment, fixed"
"Qliro invoice","Qliro invoice"
"Qliro invoice, 30 days","Qliro invoice, 30 days"
"Qliro campaign","Qliro campaign"
"Qliro part payment, account","Qliro part payment, account"
"Qliro part payment, fixed","Qliro part payment, fixed"
"Qliro invoice, direct debit","Qliro invoice, direct debit"
"Card","Card"
"Trustly","Trustly"
"Vipps","Vipps"
"MobilePay","MobilePay"
"PayPal","PayPal"
"Swish","Swish"
"Two invoice","Two invoice"
"Invoice","Invoice"
"Cash on delivery","Cash on delivery"
"Free","Free"
"Qliro Payment Method","Qliro Payment Method"
"Payment Type Code","Payment Type Code"
